web-scraper-order,web-scraper-start-url,page,page-href,title,author_name,date
1614669963-1012,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Kindred,"Butler, Octavia E.","Jan 20, 2020"
1614669981-1074,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,"How to Give Up Plastic: A Guide to Changing the World, One Plastic Bottle at a Time","McCallum, Will","Sep 29, 2018"
1614669981-1075,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,"100 Things to See in the Night Sky: From Planets and Satellites to Meteors and Constellations, Your Guide to Stargazing","Regas, Dean","Sep 28, 2018"
1614669981-1084,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,After Cleo,"Brown, Helen","Apr 15, 2018"
1614669986-1085,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,"The Heart of Betrayal
        (The Remnant Chronicles, #2)","Pearson, Mary E.","Mar 18, 2018"
1614669990-1110,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=7&per_page=20&shelf=read&utf8=%E2%9C%93,"The Eternity Code
        (Artemis Fowl #3)","Colfer, Eoin",null
1614669963-1011,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Avatar: The Last Airbender: Team Avatar Tales,"Yang, Gene Luen","Jan 22, 2020"
1614669986-1092,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,Harry Potter and the Sorcerer's Stone,"Rowling, J.K.",null
1614669956-1001,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,Plastic Water: The Social and Material Life of Bottled Water,"Hawkins, Gay","Apr 22, 2020"
1614669981-1073,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,"Hunger
        (Gone, #2)","Grant, Michael",Oct-18
